class,R01-Paint figures and connections,R02-Create figures and connections,R03-Delete figures,R04-Delete connections,R05-Select and deselect figures,R06-Move- scale- or rotate figures,R07-Change properties of figures,R08-Edit  text in figures,R09-Align figures,R10-Change z-ordering,R11-Grouping and ungrouping figures,R12-Launch the application,R13-Open an existing drawing,R14-Save a drawing,R15-Scalability:  Drawings should be as large as possible,R16-Performance: Quickly redraw figures if changed,R17-Performance: Quickly locate figures based on x-y coordinates,R18-Interoperability: Support data exchange via the clipboard,R19-Usability: Support operating system specific user interfaces,R20-Performance: Strive for a short startup latency,R21-Recoverability: periodic auto-save
org.jhotdraw.app.action.LoadDirectoryAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.LoadRecentAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.MaximizeAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.MinimizeAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.NewAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.OpenAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.OpenDirectoryAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.OpenRecentAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.OSXDropOnDockAction,,,,,,,,,,,,,x,,,,,,x,,
org.jhotdraw.app.action.OSXTogglePaletteAction,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.app.action.PasteAction,,x,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.app.action.PrintAction,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.RedoAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.SaveAction,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.app.action.SaveAsAction,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.app.action.SelectAllAction,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ToggleToolBarAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ToggleViewPropertyAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ToggleVisibleAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.UndoAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ViewPropertyAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.AbstractApplication,,,,,,,,,,,,x,x,,,,,,,x,
org.jhotdraw.app.AbstractView,,,,,,,,,,,,x,x,x,,,,,,,
org.jhotdraw.app.Application,,,,,,,,,,,,x,x,,,,,,,x,
org.jhotdraw.app.ApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.app.DefaultAppletApplication,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.app.DefaultApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.app.DefaultMDIApplication,,,,,,,,,,,,x,,,,,,,x,,
org.jhotdraw.app.DefaultOSXApplication,,,,,,,,,,,,x,,,,,,,x,,
org.jhotdraw.app.DefaultSDIApplication,,,,,,,,,,,,x,,,,,,,x,,
org.jhotdraw.app.DirectoryView,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.app.EditableComponent,,x,x,,x,,,,,,,,,,,,,,,,
org.jhotdraw.app.ExportableView,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.app.OSXPaletteHandler,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.app.PrintableView,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.View,,,,,,,,,,,,x,x,x,,,,,,,x
org.jhotdraw.beans.AbstractBean,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.color.AbstractColorSlidersModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.AbstractColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.AbstractHarmonicRule,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.CMYKICCColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.CMYKNominalColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorListCellRenderer,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorSliderModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorSliderUI,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorTrackImageProducer,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorWheelChooser,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.ColorWheelImageProducer,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.CompositeColor,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.Default.colorSliderModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.DefaultHarmonic.colorModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HarmonicColorModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HarmonicRule,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSLHarmonicColorWheelImageProducer,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSLRGBColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSLRYBColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSVHarmonicColorWheelImageProducer,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSVRGBColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.HSVRYBColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.JColorWheel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.JHarmonicColorWheel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.RGBColorSystem,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.color.SimpleHarmonicRule,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AbstractDrawingEditorAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AbstractDrawingViewAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AbstractSelectedAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AlignAction,,,,,,,,,x,,,,,,,,,,,,
org.jhotdraw.draw.action.ApplyAttributesAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AttributeAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.AttributeToggler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.BringToFrontAction,,,,,,,,,,x,,,,,,,,,,,
org.jhotdraw.draw.action.ButtonFactory,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.ColorIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.Colors,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.DefaultAttributeAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.DrawingAttributeAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.DrawingColorChooserAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.DrawingColorIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.DrawingEditorProxy,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.EditCanvasAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.EditCanvasPanel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.EditGridAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.EditGridPanel,,,,,,x,,,x,,,,,,,,,,,,
org.jhotdraw.draw.action.EditorColorChooserAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.EditorColorIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.FontChooserHandler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.GenericListener,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.GroupAction,,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.draw.action.ImageBevelBorder,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.IncreaseHandleDetailLevelAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.LineDecorationIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.MoveAction,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.MoveConstrainedAction,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.PaletteMenuItemUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.PickAttributesAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.SelectionColorChooserAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.SelectionColorIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.SelectionComponentRepainter,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.SelectSameAction,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.SendToBackAction,,,,,,,,,,x,,,,,,,,,,,
org.jhotdraw.draw.action.StrokeIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.action.ToggleGridAction,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.UngroupAction,,,x,,,,,,,,x,,,,,,,,,,
org.jhotdraw.draw.action.VerticalGridLayout,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.ZoomAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.action.ZoomEditorAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractAttributedCompositeFigure,x,x,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractAttributedDecoratedFigure,x,x,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractAttributedFigure,x,x,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractCompositeFigure,x,x,x,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractConnectionHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractConnector,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractConstrainer,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.Abstractorg.jhotdraw.drawing,,x,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.draw.AbstractFigure,,x,,x,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractLayouter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractLineDecoration,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractLocator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractRotateHandle,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.AbstractTool,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ArrowTip,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.AttributeChangeEdit,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AttributeKey,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.AttributeKeys,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierControlPointHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierLabelLocator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierNodeEdit,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierNodeHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierOutlineHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierPointLocator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierScaleHandle,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.BezierTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BidirectionalConnectionTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BorderRectangleFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.BoundsOutlineHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopBezierConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopDiamondConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopEllipseConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopRectangleConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopRoundRectangleConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ChopTriangleConnector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CloseHandle,,,x,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CompositeFigure,x,x,x,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CompositeFigureEvent,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CompositeFigureListener,,,x,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CompositeLineDecoration,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.CompositeTransformEdit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.ConnectionEndHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.ConnectionFigure,,x,,x,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.ConnectionStartHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.ConnectionTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Connector,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ConnectorHandle,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Constrainer,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.CreationTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DecoratedFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DefaultDragTracker,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.DefaultDrawing,x,,,,,,,,,,,,,,,,x,,,,
org.jhotdraw.draw.DefaultDrawingEditor,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.DefaultDrawingView,x,x,x,,x,,,,,,,,,,,x,,x,,,
org.jhotdraw.draw.DefaultDrawingViewBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DefaultDrawingViewTransferHandler,,x,x,,,,,,,,,,,,,,,x,,,
org.jhotdraw.draw.DefaultHandleTracker,,,,,,x,x,,,,,,,,,,,,,,
org.jhotdraw.draw.DefaultSelectAreaTracker,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DelegationSelectionTool,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DiamondFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DnDDrawingViewTransferHandler,,x,x,,,,,,,,,,,,,,,x,,,
org.jhotdraw.draw.DnDTracker,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DOMStorableInputOutputFormat,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.draw.DragHandle,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.DragTracker,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.Drawing,x,x,x,,,,x,,,x,,,x,x,,,x,,,,
org.jhotdraw.draw.DrawingEditor,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.DrawingPageable,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.DrawingView,x,,,,x,,,,,,,,,,x,,x,,,,
org.jhotdraw.draw.ElbowLiner,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.EllipseFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Figure,x,x,,x,,x,x,,x,,,,,,x,x,,,,,
org.jhotdraw.draw.FigureAdapter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.FigureEvent,,,x,x,,,,,,,,,,,x,x,,,,,
org.jhotdraw.draw.FigureLayerComparator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.FigureListener,,,x,x,,,,,,,,,,,,x,,,,,
org.jhotdraw.draw.FigureSelectionEvent,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.FigureSelectionListener,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.FloatingTextArea,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.FloatingTextField,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.FontSizeHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.FontSizeLocator,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.GeneralPathTip,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.GeometryEdit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.GraphicalCompositeFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.GridConstrainer,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.GroupFigure,x,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.draw.Handle,,x,x,,,x,x,,,,,,,,x,,,,,,
org.jhotdraw.draw.HandleAttributeKeys,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.HandleEvent,,,,,,,,,,,,,,,x,x,,,,,
org.jhotdraw.draw.HandleListener,,,,,,,,,,,,,,,,x,,,,,
org.jhotdraw.draw.HandleMulticaster,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.HandleTracker,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.HorizontalLayouter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ImageFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ImageHolderFigure,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ImageInputFormat,,,,,,,,,,,,,x,,,,,x,,,
org.jhotdraw.draw.ImageOutputFormat,,,,,,,,,,,,,,x,,,,x,,,
org.jhotdraw.draw.ImageTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.InputFormat,,,,,,,,,,,,,x,,,,,x,,,
org.jhotdraw.draw.LabeledLineConnectionFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LabelFigure,x,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.Layouter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LineConnectionFigure,x,x,,x,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LineDecoration,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LineFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Liner,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ListFigure,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Locator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LocatorConnector,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LocatorHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.LocatorLayouter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.MoveHandle,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.NullHandle,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.Options,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.OutputFormat,,,,,,,,,,,,,,x,,,,x,,,
org.jhotdraw.draw.PerpendicularBar,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.PictImageInputFormat,,,,,,,,,,,,,x,,,,,x,,,
org.jhotdraw.draw.QuadTreeCompositeFigure,x,x,,,,,,,,,,,,,,x,x,,,,
org.jhotdraw.draw.QuadTreeDrawing,x,x,,,,,,,,,,,,,,x,x,,,,
org.jhotdraw.draw.RectangleFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.RelativeDecoratorLocator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.RelativeLocator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.ResizeHandleKit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.RestoreDataEdit,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.RotateHandle,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.RotationDirection,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.RoundRectangleFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.RoundRectangleRadiusHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.RoundRectangleRadiusUndoableEdit,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.SelectAreaTracker,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.SelectionTool,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.draw.SerializationInputOutputFormat,,,,,,,,,,,,,x,x,,,,x,,,
org.jhotdraw.draw.SetBoundsEdit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.SlantedLiner,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.StickyRectangleConnector,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.TextAreaCreationTool,,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextAreaEditingTool,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextAreaFigure,x,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextCreationTool,,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextEditingTool,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextFigure,x,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextHolderFigure,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.TextInputFormat,,,,,,,,,,,,,x,,,,,x,,,
org.jhotdraw.draw.TextOverflowHandle,,,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.draw.Tool,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.draw.ToolEvent,,,,,,,,,,,,,,,x,x,,,,,
org.jhotdraw.draw.ToolListener,,,,,,,,,,,,,,,,x,,,,,
org.jhotdraw.draw.TransformEdit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.TransformHandleKit,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.TranslationDirection,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.draw.TriangleFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.draw.TriangleRotationHandler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.draw.VerticalLayouter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.Bezier,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.BezierPath,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.BezierPathIterator,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.ConvexHull,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.Dimension2DDouble,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.DoubleStroke,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.Geom,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.GrowStroke,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.Insets2D,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.Polygon2D,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.geom.QuadTree,,,,,,,,,,,,,,,,x,x,,,,
org.jhotdraw.geom.Shapes,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.datatransfer.AbstractTransferable,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.gui.datatransfer.CompositeTransferable,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.gui.datatransfer.ImageTransferable,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.gui.datatransfer.InputStreamTransferable,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.gui.event.SheetEvent,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.gui.event.SheetListener,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.gui.fontchooser.AbstractFontChooserModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.fontchooser.DefaultFontChooserModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.fontchooser.FontChooserModel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.fontchooser.FontCollectionNode,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.fontchooser.FontFaceNode,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.fontchooser.FontFamilyNode,,,,,,,x,,,,,,,,,,,,,,
