Nr,Class,Methods / Requirements,Signature,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
44,de.java_chess.javaChess.engine.PlyGenerator,setAnalyzer,(Lde/java_chess/javaChess/engine/BitBoardAnalyzer;)V,x,,,x,,,,,,
45,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,-init-,(Lde/java_chess/javaChess/engine/ChessEngine;)V,x,,,,,,,,,
46,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,setEngine,(Lde/java_chess/javaChess/engine/ChessEngine;)V,x,,,,,,,,,
47,de.java_chess.javaChess.engine.ChessEngineImpl,setPermanentBrain,(Lde/java_chess/javaChess/engine/permanent_brain/PermanentBrain;)V,x,,,,,,,,,
48,de.java_chess.javaChess.engine.ChessEngineImpl,startPermanentBrain,()V,x,x,,,,,,,,
49,de.java_chess.javaChess.engine.ChessEngineImpl,usePermanentBrain,()Z,x,x,,,x,,,,,
50,de.java_chess.javaChess.engine.ChessEngineImpl,setAnalyzedBoards,(J)V,x,x,,,,,x,,,
51,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,-init-,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
52,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,setNotation,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
53,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,reset,()V,x,,,,,,,,,
54,de.java_chess.javaChess.engine.ChessEngineImpl,setOpeningBook,(Lde/java_chess/javaChess/engine/opening_book/OpeningBook;)V,x,,,,,,,,,
55,de.java_chess.javaChess.engine.ChessEngineImpl,setInOpeningBook,(Z)V,x,,,,,,,,,
56,de.java_chess.javaChess.engine.ChessEngineImpl,addEngineStatusListener,(Lde/java_chess/javaChess/listener/EngineStatusListener;)V,x,,,,,,,,,
57,de.java_chess.javaChess.renderer2d.GameTimerPanel,-init-,(I)V,x,,,,,,,,,
58,de.java_chess.javaChess.renderer2d.GameTimerPanel,-init-,()V,x,,,,,,,,,
59,de.java_chess.javaChess.renderer2d.GameTimerPanel,jbInit,()V,x,,,,,,,,,
60,de.java_chess.javaChess.renderer2d.TimerPanel,-init-,(Z)V,x,,,,,,,,,
61,de.java_chess.javaChess.renderer2d.TimerPanel,setCountingDirection,(Z)V,x,,,,,,,,,
62,de.java_chess.javaChess.renderer2d.TimerPanel,addActionListener,(Ljava/awt/event/ActionListener;)V,x,,,,,,,,,
63,de.java_chess.javaChess.renderer2d.TimerPanel,alignText,()V,x,,,,,,,,,
64,de.java_chess.javaChess.renderer2d.GameTimerPanel,setCountdown,(I)V,x,,,,,,,,,
65,de.java_chess.javaChess.renderer2d.TimerPanel,setCountdown,(I)V,x,x,,,,,,,,
66,de.java_chess.javaChess.renderer2d.TimerPanel,display,(J)V,x,x,,,,x,x,,,
67,de.java_chess.javaChess.renderer2d.TimerPanel,isCountdown,()Z,x,x,,,,x,x,,,
68,de.java_chess.javaChess.GameController,-init-,(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,x,,,,,,,,,
69,de.java_chess.javaChess.GameController,setGame,(Lde/java_chess/javaChess/game/Game;)V,x,,,,,,,,,
70,de.java_chess.javaChess.GameController,setGameNotation,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
71,de.java_chess.javaChess.GameController,setEngine,(Lde/java_chess/javaChess/engine/ChessEngine;)V,x,,,,,,,,,
72,de.java_chess.javaChess.GameController,setBoard,(Lde/java_chess/javaChess/board/Board;)V,x,,,,,,,,,
73,de.java_chess.javaChess.GameController,setGameTimer,(Lde/java_chess/javaChess/timer/GameTimer;)V,x,,,,,,,,,
74,de.java_chess.javaChess.renderer2d.GameTimerPanel,addActionListener,(Ljava/awt/event/ActionListener;)V,x,,,,,,,,,
75,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,-init-,(Lde/java_chess/javaChess/GameController;Lde/java_chess/javaChess/board/Board;)V,x,,,,,,,,,
76,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,setBoard,(Lde/java_chess/javaChess/board/Board;)V,x,,,,,,,,,
77,de.java_chess.javaChess.renderer2d.BoardLayer,-init-,()V,x,,,,,,,,,
78,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,getSquareSize,()I,x,x,,,,x,x,,,
79,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,getBoard,()Lde/java_chess/javaChess/board/Board;,x,,,,,x,,,,
80,de.java_chess.javaChess.renderer2d.PiecesLayer,-init-,(Lde/java_chess/javaChess/board/Board;)V,x,,,,,,,,,
81,de.java_chess.javaChess.renderer2d.ChessSet,-init-,(Ljava/awt/Component;)V,x,,,,,,,,,
82,de.java_chess.javaChess.util.ResourceLoader,loadImage,(Ljava/lang/String;)Ljava/awt/Image;,x,,,,,,,,,
83,de.java_chess.javaChess.renderer2d.AnimationLayer,-init-,(Lde/java_chess/javaChess/renderer2d/PiecesLayer;)V,x,,,,,,,,,
84,de.java_chess.javaChess.renderer2d.AnimationLayer,setPiecesLayer,(Lde/java_chess/javaChess/renderer2d/PiecesLayer;)V,x,,,,,,,,,
85,de.java_chess.javaChess.renderer2d.PiecesLayer,repaintBoard,()V,x,x,,,,,,,,
86,de.java_chess.javaChess.bitboard.BitBoardImpl,getPiece,(Lde/java_chess/javaChess/position/Position;)Lde/java_chess/javaChess/piece/Piece;,x,x,,x,,x,x,,,
87,de.java_chess.javaChess.piece.PieceImpl,getColor,()B,x,x,,,,x,x,,,
88,de.java_chess.javaChess.piece.PieceImpl,getType,()B,x,x,,,,x,x,,,
89,de.java_chess.javaChess.renderer2d.PieceRenderer,-init-,(BBLde/java_chess/javaChess/renderer2d/ChessSet;Ljava/awt/Component;)V,x,,,,,,,,,
90,de.java_chess.javaChess.renderer2d.PositionRenderer,-init-,(Ljava/awt/Image;)V,x,,,,,,,,,
91,de.java_chess.javaChess.renderer2d.PositionRenderer,-init-,()V,x,,,,,,,,,
92,de.java_chess.javaChess.renderer2d.ControlLayer,-init-,(Lde/java_chess/javaChess/GameController;Lde/java_chess/javaChess/renderer2d/PiecesLayer;)V,x,,,,,,,,,
93,de.java_chess.javaChess.renderer2d.ControlLayer,setController,(Lde/java_chess/javaChess/GameController;)V,x,x,,,,,,,,
94,de.java_chess.javaChess.renderer2d.ControlLayer$1,-init-,(Lde/java_chess/javaChess/renderer2d/ControlLayer;)V,x,,,,,,,,,
95,de.java_chess.javaChess.renderer2d.PiecesLayer,getAnimationLayer,()Lde/java_chess/javaChess/renderer2d/AnimationLayer;,x,x,,,,,,,,
96,de.java_chess.javaChess.GameController,setRenderer,(Lde/java_chess/javaChess/renderer/ChessBoardRenderer;)V,x,,,,,,,,,
97,de.java_chess.javaChess.menu.EditMenu,-init-,()V,x,,,,,,,,,
98,de.java_chess.javaChess.renderer2d.NotationPanel,-init-,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
99,de.java_chess.javaChess.renderer2d.NotationPanel,setGameNotation,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
100,de.java_chess.javaChess.renderer2d.NotationPanel,jbInit,()V,x,,,,,,,,,
101,de.java_chess.javaChess.renderer2d.NotationPanel,setWhitePlayerName,(Ljava/lang/String;)V,x,,,,,,,,,
102,de.java_chess.javaChess.notation.GameNotationImpl,setPlayerInfo,(Ljava/lang/String;Z)V,x,,,,,,,,,
103,de.java_chess.javaChess.renderer2d.NotationPanel,setBlackPlayerName,(Ljava/lang/String;)V,x,,,,,,,,,
104,de.java_chess.javaChess.notation.GameNotationImpl,setNotationPanel,(Lde/java_chess/javaChess/renderer2d/NotationPanel;)V,x,,,,,,,,,
105,de.java_chess.javaChess.menu.EditMenu,setNotationPanel,(Lde/java_chess/javaChess/renderer2d/NotationPanel;)V,x,,,,,,,,,
106,de.java_chess.javaChess.renderer2d.EnginePanel,-init-,()V,x,,,,,,,,,
107,de.java_chess.javaChess.renderer2d.EnginePanel,jbInit,()V,x,,,,,,,,,
108,de.java_chess.javaChess.engine.ChessEngineImpl,setEnginePanel,(Lde/java_chess/javaChess/renderer2d/EnginePanel;)V,x,,,,,,,,,
109,de.java_chess.javaChess.engine.ChessEngineImpl,setStatusPanel,(Lde/java_chess/javaChess/renderer2d/StatusPanel;)V,x,,,,,,,,,
110,de.java_chess.javaChess.renderer2d.NavigationPanel,-init-,()V,x,,,,,,,,,
111,de.java_chess.javaChess.renderer2d.NavigationPanel,jbInit,()V,x,,,,,,,,,
112,de.java_chess.javaChess.JavaChess$3,-init-,(Lde/java_chess/javaChess/JavaChess;)V,x,,,,,,,,,
113,de.java_chess.javaChess.action.ResetGameAction,-init-,()V,x,,,,,,,,,
114,de.java_chess.javaChess.action.JavaChessAction,-init-,(Ljava/lang/String;)V,x,,,,,,,,,
115,de.java_chess.javaChess.JavaChess,getMenuItem,(Lde/java_chess/javaChess/action/JavaChessAction;)Ljavax/swing/JMenuItem;,x,,,,,,,,,
116,de.java_chess.javaChess.action.JavaChessAction,getName,()Ljava/lang/String;,x,,,,,,,,,
117,de.java_chess.javaChess.action.JavaChessAction,getShortDescription,()Ljava/lang/String;,x,,,,,,,,,
118,de.java_chess.javaChess.action.LoadGameAction,-init-,()V,x,,,,,,,,,
119,de.java_chess.javaChess.action.SaveGameAction,-init-,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
120,de.java_chess.javaChess.action.SaveGameAsAction,-init-,(Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
121,de.java_chess.javaChess.action.SaveGameAction,-init-,(Ljava/lang/String;Lde/java_chess/javaChess/notation/GameNotation;)V,x,,,,,,,,,
122,de.java_chess.javaChess.JavaChess$4,-init-,()V,x,,,,,,,,,
123,de.java_chess.javaChess.menu.EditMenu,getMenu,()Ljavax/swing/JMenu;,x,,,,,,,,,
124,de.java_chess.javaChess.engine.ChessEngineImpl,getMenu,()Ljavax/swing/JMenu;,x,,,,,,,,,
125,de.java_chess.javaChess.engine.ChessEngineImpl,setMaximumSearchTime,(I)V,x,,,,,,,,,
126,de.java_chess.javaChess.engine.ChessEngineImpl,getHashtable,()Lde/java_chess/javaChess/engine/hashtable/PlyHashtable;,x,x,,,,,,,,
127,de.java_chess.javaChess.engine.ChessEngineImpl,getOpeningBook,()Lde/java_chess/javaChess/engine/opening_book/OpeningBook;,x,,,,,,,,,
128,de.java_chess.javaChess.engine.opening_book.action.LoadOpeningsAction,-init-,(Lde/java_chess/javaChess/engine/opening_book/OpeningBook;)V,x,,,,,,,,,
129,de.java_chess.javaChess.engine.opening_book.action.LoadOpeningsAction,setOpeningBook,(Lde/java_chess/javaChess/engine/opening_book/OpeningBook;)V,x,,,,,,,,,
130,de.java_chess.javaChess.JavaChess,engineStatusChanged,(Lde/java_chess/javaChess/engine/ChessEngineImpl;)V,x,,,,x,,,,,
131,de.java_chess.javaChess.engine.ChessEngineImpl,getStatusDisplayString,()Ljava/lang/String;,x,,,,,,,,,
132,de.java_chess.javaChess.engine.ChessEngineImpl,getHashSize,()I,x,,,,,,,,,
133,de.java_chess.javaChess.engine.ChessEngineImpl,getMaximumSearchTime,()I,x,,,,,,,,,
134,de.java_chess.javaChess.engine.ChessEngineImpl,isFixedTime,()Z,x,,,,x,,,,,
135,de.java_chess.javaChess.renderer2d.StatusPanel,setActionText,(Ljava/lang/String;)V,x,,,,x,,,,,
136,de.java_chess.javaChess.action.HelpAction,-init-,()V,x,,,,,,,,,
137,de.java_chess.javaChess.action.AboutAction,-init-,()V,x,,,,,,,,,
138,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,getPreferredSize,()Ljava/awt/Dimension;,x,x,,,,,x,,,
139,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,getMinimumSize,()Ljava/awt/Dimension;,x,x,,,,,x,,,
140,de.java_chess.javaChess.JavaChess$2,-init-,()V,x,,,,,,,,,
141,de.java_chess.javaChess.JavaChess,free,()V,x,,,,,,,,,
142,de.java_chess.javaChess.JavaChess,setDefaultFrameCoordinates,()V,x,,,,,,,,,
143,de.java_chess.javaChess.JavaChess,packFrame,()Ljava/awt/Dimension;,x,,,,,,,,,
144,de.java_chess.javaChess.JavaChess,setFrameSize,(Ljava/awt/Dimension;Ljava/awt/Dimension;)V,x,,,,,,,,,
145,de.java_chess.javaChess.JavaChess,placeFrame,(Ljava/awt/Dimension;Ljava/awt/Dimension;)V,x,,,,,,,,,
146,de.java_chess.javaChess.renderer2d.BoardLayer,paintComponent,(Ljava/awt/Graphics;)V,x,,,,,,,,,
147,de.java_chess.javaChess.renderer2d.ControlLayer,paintComponent,(Ljava/awt/Graphics;)V,x,,,,,,,,,
148,de.java_chess.javaChess.renderer2d.NotationPanel,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,x,,
149,de.java_chess.javaChess.JavaChess,getInstance,()Lde/java_chess/javaChess/JavaChess;,x,,,,,,,,,
150,de.java_chess.javaChess.JavaChess,reset,()V,x,,,,,,,,,
151,de.java_chess.javaChess.game.GameImpl,reset,()V,x,,,,,,,,,
152,de.java_chess.javaChess.util.UnsynchronizedArrayStack,clear,()V,x,,,,,,,,,
153,de.java_chess.javaChess.notation.GameNotationImpl,reset,()V,x,,,,,,,,,
154,de.java_chess.javaChess.notation.GameNotationImpl,getNotationPanel,()Lde/java_chess/javaChess/renderer2d/NotationPanel;,,,,,,x,x,,,
155,de.java_chess.javaChess.renderer2d.NotationPanel,setText,(Ljava/lang/String;)V,,,,,,x,x,,,
156,de.java_chess.javaChess.notation.GameNotationImpl,setOpeningInfo,(Ljava/lang/String;)V,,,,,,x,x,,,
157,de.java_chess.javaChess.engine.ChessEngineImpl,reset,()V,,,,,,x,x,,,
158,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,reset,()V,,,,,,,x,,,
159,de.java_chess.javaChess.renderer2d.EnginePanel,setText,(Ljava/lang/String;)V,,,,,,,x,,,
160,de.java_chess.javaChess.renderer2d.StatusPanel,setStatusText,(Ljava/lang/String;)V,,,,,,,x,,,
161,de.java_chess.javaChess.renderer2d.GameTimerPanel,reset,(I)V,x,,,,,,,,,
162,de.java_chess.javaChess.renderer2d.GameTimerPanel,stop,()V,,,,,,x,x,,,
163,de.java_chess.javaChess.renderer2d.TimerPanel,stop,()V,,,,,,,x,,,
164,de.java_chess.javaChess.renderer2d.GameTimerPanel,setRunning,(Z)V,,,,,,x,x,,,
165,de.java_chess.javaChess.renderer2d.GameTimerPanel,setNoClockRunning,()V,x,,,,,,,,,
166,de.java_chess.javaChess.GameController,reset,()V,x,,,,,,,,,
167,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,reset,()V,x,,,,,x,x,,,
168,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,repaintBoard,()V,x,,,,,x,x,,,
169,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
170,de.java_chess.javaChess.action.SaveGameAsAction,actionPerformed,(Ljava/awt/event/ActionEvent;)V,,,,,,x,x,,,
171,de.java_chess.javaChess.action.SaveGameAsAction,getPGNFileFilter,()Lde/java_chess/javaChess/pgn/PGNFileFilter;,,,,,,x,x,,,
172,de.java_chess.javaChess.pgn.PGNFileFilter,-init-,()V,,,,x,,,,,,
173,de.java_chess.javaChess.pgn.PGNFileFilter,getDescription,()Ljava/lang/String;,,,,x,,,,,,
174,de.java_chess.javaChess.pgn.PGNFileFilter,accept,(Ljava/io/File;)Z,,,,x,,,,,,
175,de.java_chess.javaChess.action.SaveGameAction,trySave,(Ljava/io/File;)V,,,,,,x,x,,,
176,de.java_chess.javaChess.pgn.PGNOutputStream,-init-,(Ljava/io/File;)V,,,,x,,,,,,
177,de.java_chess.javaChess.pgn.PGNOutputStream,write,(Lde/java_chess/javaChess/notation/GameNotation;)V,,,,x,,,,,,
178,de.java_chess.javaChess.notation.GameNotationImpl,getPGNheader,()Ljava/lang/String;,,,,,,x,x,,,
179,de.java_chess.javaChess.notation.GameNotationImpl,getPlayerInfo,(Z)Ljava/lang/String;,,,,,,x,x,,,
180,de.java_chess.javaChess.notation.GameNotationImpl,toString,()Ljava/lang/String;,,,,,,x,x,,,
181,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
182,de.java_chess.javaChess.action.SaveGameAsAction,getPGNFileFilter,()Lde/java_chess/javaChess/pgn/PGNFileFilter;,,,,,,x,x,,,
183,de.java_chess.javaChess.pgn.PGNFileFilter,-init-,()V,,,,x,,,,,,
184,de.java_chess.javaChess.pgn.PGNFileFilter,getDescription,()Ljava/lang/String;,,,,x,,,,,,
185,de.java_chess.javaChess.pgn.PGNFileFilter,accept,(Ljava/io/File;)Z,,,,x,,,,,,
186,de.java_chess.javaChess.pgn.PGNOutputStream,-init-,(Ljava/io/Reader;)V,,,,x,,,,,,
187,de.java_chess.javaChess.pgn.PGNOutputStream,setReader,(Ljava/io/Reader;)V,,,,x,,,,,,
188,de.java_chess.javaChess.pgn.PGNOutputStream,readGame,()Lde/java_chess/javaChess/notation/GameNotation;,,,,x,,,,,,
189,de.java_chess.javaChess.pgn.PGNOutputStream,getPGNParser,()Lde/java_chess/javaChess/pgn/PGNParser;,,,,x,,,,,,
190,de.java_chess.javaChess.pgn.PGNParser,-clinit-,()V,,,,x,,,,,,
191,de.java_chess.javaChess.pgn.PGNLexer,-clinit-,()V,,,,x,,,,,,
192,de.java_chess.javaChess.pgn.PGNOutputStream,getReader,()Ljava/io/Reader;,,,,x,,,,,,
193,de.java_chess.javaChess.pgn.PGNLexer,-init-,(Ljava/io/Reader;)V,,,,x,,,,,,
194,de.java_chess.javaChess.pgn.PGNLexer,-init-,(Lantlr/InputBuffer;)V,,,,x,,,,,,
195,de.java_chess.javaChess.pgn.PGNLexer,-init-,(Lantlr/LexerSharedInputState;)V,,,,x,,,,,,
196,de.java_chess.javaChess.pgn.PGNParser,-init-,(Lantlr/TokenStream;)V,,,,x,,,,,,
197,de.java_chess.javaChess.pgn.PGNParser,-init-,(Lantlr/TokenStream;I)V,,,,x,,,,,,
198,de.java_chess.javaChess.pgn.PGNParser,pgnGame,(Lde/java_chess/javaChess/notation/GameNotation;)V,,,,x,,,,,,
199,de.java_chess.javaChess.pgn.PGNParser,setNotation,(Lde/java_chess/javaChess/notation/GameNotation;)V,,,,x,,,,,,
200,de.java_chess.javaChess.pgn.GameLoader,-init-,()V,,,,x,,,,,,
201,de.java_chess.javaChess.engine.PlyGenerator,-init-,(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/bitboard/BitBoard;Lde/java_chess/javaChess/engine/hashtable/PlyHashtable;)V,,,,,,x,x,,,
202,de.java_chess.javaChess.engine.PlyGenerator,setBoard,(Lde/java_chess/javaChess/bitboard/BitBoard;)V,,,,,,x,x,,,
203,de.java_chess.javaChess.pgn.PGNParser,setGameLoader,(Lde/java_chess/javaChess/pgn/GameLoader;)V,,,,x,,,,,,
204,de.java_chess.javaChess.pgn.PGNParser,whiteSpaces,()V,,,,x,,,,,,
205,de.java_chess.javaChess.pgn.PGNLexer,nextToken,()Lantlr/Token;,,,,x,,,,,,
206,de.java_chess.javaChess.pgn.PGNLexer,mLBRACK,(Z)V,,,,x,,,,,,
207,de.java_chess.javaChess.pgn.PGNParser,tagPairSection,()V,,,,x,,,,,,
208,de.java_chess.javaChess.pgn.PGNParser,tagPair,()V,,,,x,,,,,,
209,de.java_chess.javaChess.pgn.PGNLexer,mTAG_EVENT,(Z)V,,,,x,,,,,,
210,de.java_chess.javaChess.pgn.PGNParser,eventTag,()V,,,,x,,,,,,
211,de.java_chess.javaChess.pgn.PGNLexer,mWS,(Z)V,,,,x,,,,,,
212,de.java_chess.javaChess.pgn.PGNLexer,mSTRING_LITERAL,(Z)V,,,,x,,,,,,
213,de.java_chess.javaChess.pgn.PGNLexer,mRBRACK,(Z)V,,,,x,,,,,,
214,de.java_chess.javaChess.pgn.PGNLexer,mTAG_SITE,(Z)V,,,,x,,,,,,
215,de.java_chess.javaChess.pgn.PGNParser,siteTag,()V,,,,x,,,,,,
216,de.java_chess.javaChess.pgn.PGNLexer,mTAG_DATE,(Z)V,,,,x,,,,,,
217,de.java_chess.javaChess.pgn.PGNParser,dateTag,()V,,,,x,,,,,,
218,de.java_chess.javaChess.pgn.PGNLexer,mTAG_ROUND,(Z)V,,,,x,,,,,,
219,de.java_chess.javaChess.pgn.PGNParser,roundTag,()V,,,,x,,,,,,
220,de.java_chess.javaChess.pgn.PGNLexer,mTAG_WHITE,(Z)V,,,,x,,,,,,
221,de.java_chess.javaChess.pgn.PGNParser,whiteTag,()V,,,,x,,,,,,
222,de.java_chess.javaChess.pgn.PGNParser,getNotation,()Lde/java_chess/javaChess/notation/GameNotation;,,,,x,,,,,,
223,de.java_chess.javaChess.pgn.PGNLexer,mTAG_BLACK,(Z)V,,,,x,,,,,,
224,de.java_chess.javaChess.pgn.PGNParser,blackTag,()V,,,,x,,,,,,
225,de.java_chess.javaChess.pgn.PGNLexer,mTAG_RESULT,(Z)V,,,,x,,,,,,
226,de.java_chess.javaChess.pgn.PGNParser,resultTag,()V,,,,x,,,,,,
227,de.java_chess.javaChess.pgn.PGNParser,moveTextSection,()V,,,,x,,,,,,
228,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
229,de.java_chess.javaChess.engine.ChessEngineImpl,activatePermanentBrain,(Z)V,,,,,,x,x,,,
230,de.java_chess.javaChess.engine.ChessEngineImpl,notifyListeners,()V,,,,,,x,x,,,
231,de.java_chess.javaChess.engine.ChessEngineImpl,stopPermanentBrain,()V,,,,,,x,x,,,
232,de.java_chess.javaChess.engine.ChessEngineImpl,getPermanentBrain,()Lde/java_chess/javaChess/engine/permanent_brain/PermanentBrain;,,,,,,x,x,,,
233,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,stopComputation,()V,,,,,x,x,x,,,
234,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
235,de.java_chess.javaChess.renderer2d.ControlLayer$1,mouseClicked,(Ljava/awt/event/MouseEvent;)V,,,,,,x,x,,,
236,de.java_chess.javaChess.renderer2d.ControlLayer,markSquare,(ILjava/awt/Graphics;)V,,,,,,x,x,,,
237,de.java_chess.javaChess.pgn.PGNFileFilter,-init-,(ILde/java_chess/javaChess/renderer2d/ControlLayer;)V,,,,x,,,,,,
238,de.java_chess.javaChess.pgn.PGNFileFilter,run,()V,,,,x,,,,,,
