,R01-Create Tasks,R02-Delete Tasks,R03-Maintain Task Properties,R04-Add/Remove Tasks as Subtasks,R05-Handle Milestones,R06-Create Resources (person),R07-Delete Resources (person),R08-Maintain Resource Properties,R09-Add/Remove Task Links,R10-Add/Remove Resources to Tasks Dependencies,R11-Change Task Begin/End Times manually with user changes,R12-Change Task Begin/End Times automatically with dependency changes,R13-Change Task Begin/End Times automatically with subtask changes,R14-Prevent Circular Dependencies,R16-Add/Remove Holidays and Vacation Days,R17-Show Resource Utilization (underused or overused person)
net.sourceforge.ganttproject.chart.GanttChart,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.LabelPositionOptionImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.OffsetCalculatorImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.OptionsDialogAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.Painter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.PublicHolidayDialogAction,,,,,,,,,,,,,,,x,
net.sourceforge.ganttproject.chart.RenderedChartImage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.RenderedGanttChartImage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.RenderedResourceChartImage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ResourceChart,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.chart.ResourcesRendererImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.SimpleRenderedImage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.StyledPainterImpl,,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.chart.TaskGridRendererImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.TaskInteractionHintRenderer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.TaskRendererImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.TestChart,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.TimeUnitVisitor,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ToggleChartAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.VisibleNodesFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.delay.Delay,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.delay.DelayManager,,,,,,,,,,,x,x,,,,
net.sourceforge.ganttproject.delay.DelayObserver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.AbstractDocument,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.AbstractURLDocument,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.Document,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.DocumentCreator,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.DocumentManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.DocumentsMRU,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.FileDocument,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.HttpDocument,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.HttpDocumentOutputStream,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.OpenDocumentAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.document.ProxyDocument,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.CommandLineExportApplication,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ConsoleUIFacade,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.DeprecatedProjectExportData,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.Exporter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExporterChooserPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExporterToCSV,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExporterToImage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExportException,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExportFileAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExportFileWizardImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.ExportFinalizationJob,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.FileChooserPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.TaskVisitor,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.export.WebPublisher,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.ExtensionBasedFileFilter,,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.filter.GanttCSVFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttHTMLFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttJPGFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttMSProjectLFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttPDFFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttPNGFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttTXTFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttXFIGFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttXMLFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.filter.GanttXSLFileFilter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.font.Fonts,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutAuthorPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutLibraryPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutLicensePanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.about.AboutPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.BooleanOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.ChangeValueDispatcher,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.ChangeValueEvent,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.ChangeValueListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.ColorOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DateOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DefaultBooleanOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DefaultColorOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DefaultDateOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DefaultEnumerationOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.DefaultStringOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.EnumerationOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.GP1XOptionConverter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.GPAbstractOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.GPOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.GPOptionChangeListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.GPOptionGroup,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.OptionPageProvider,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.model.StringOption,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.BooleanOptionAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.EnumerationOptionComboBoxModel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.ExportSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.FTPSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.GanttChartOptionPageProvider,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.GeneralOptionPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.GPOptionChoicePanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.LanguageSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.LnFSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.OptionPageProviderPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.OptionsPageBuilder,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.ParametersSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.ProjectSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.ResourceChartOptionPageProvider,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.RolesSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.SettingsDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.SpringUtilities,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.TopPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.options.WelcomeSettingsPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.previous.StateGanttCompareToPreviousStateBean,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.previous.StateGanttDialogCompareToPreviousState,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.previous.StateGanttDialogSaveAsPreviousState,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.previous.StateGanttSaveAsPreviousStateBean,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.I18N,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizard,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizardWindow,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.ProjectNamePage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage,,,,,,,,,,,,,,,x,
net.sourceforge.ganttproject.gui.projectwizard.WizardImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.projectwizard.WizardPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.scrolling.ScrollingListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.scrolling.ScrollingManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.scrolling.ScrollingManagerImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.server.ConnectionPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.server.ServerDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.taskproperties.CustomColumnsPanel,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.gui.taskproperties.InternalStateListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel,,,,,,,,x,,x,,,,,,x
net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.gui.zoom.ZoomEvent,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.zoom.ZoomListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.zoom.ZoomManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.DateIntervalListEditor,,,,,,x,,x,,,,,,,x,
net.sourceforge.ganttproject.gui.DialogAligner,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.FileChooserPageBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttCellListRenderer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttDialogCalendar,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttDialogCustomColumn,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttDialogDate,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttDialogInfo,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttDialogPerson,,,,,,x,,x,,,,,,,x,
net.sourceforge.ganttproject.gui.GanttDialogProperties,x,,x,,x,,,,x,x,x,,,,,
net.sourceforge.ganttproject.gui.GanttDialogPublicHoliday,,,,,,,,,,,,,,,x,
net.sourceforge.ganttproject.gui.GanttLookAndFeelInfo,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttLookAndFeels,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttMetalTheme,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttPanelDate,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttStatusBar,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttTabbedPane,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean,x,,x,,x,,,,,,x,,,,,
net.sourceforge.ganttproject.gui.GanttURLChooser,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GeneralDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.GTextField,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.OpenFileDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.ProjectUIFacade,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.ProjectUIFacadeImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.ResourceDialogCustomColumn,,,,,,,,x,,,,,,,,
net.sourceforge.ganttproject.gui.ResourcesTableModel,,,,,,,,,,x,,,,,,
net.sourceforge.ganttproject.gui.ResourceTreeUIFacade,,,,,,x,x,x,,,,,,,,
net.sourceforge.ganttproject.gui.RolesTableModel,,,,,,,,x,,,,,,,,
net.sourceforge.ganttproject.gui.TaskTreeUIFacade,x,x,x,x,,,,,x,,,,,,,
net.sourceforge.ganttproject.gui.TestGanttRolloverButton,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.TextFieldAndFileChooserComponent,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.TipsDialog,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.UIConfiguration,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.UIFacade,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.FileChooserPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.Importer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImporterBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImporterChooserPage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImporterFactory,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImporterFromGanttFile,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImporterFromTxtFile,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImportFileAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.gui.importer.ImportFileWizardImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.CalendarSaver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.CSVOptions,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GanttCSVExport,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GanttTXTOpen,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GanttXFIGSaver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GanttXMLOpen,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GanttXMLSaver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.GPSaver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.SaverBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.io.ViewSaver,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.language.GanttLanguage,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.AllocationTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.BlankLineTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ColorValueParser,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.DayTypeTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.DependencyTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.FileFormatException,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.GPParser,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.HolidayTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.IconPositionTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ParserFactory,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ParsingContext,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ParsingListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ResourceTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.RoleTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.TagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.TaskDisplayColumnsTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.TaskPropertiesTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.TaskTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.VacationTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.parser.ViewTagHandler,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.plugins.PluginManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.print.GanttPrintable,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.print.PrintManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.print.PrintPreview,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.resource.AssignmentContext,,,,,,,,,,x,,,,,,
net.sourceforge.ganttproject.resource.AssignmentNode,,,x,,,,,,,x,,,,,,x
net.sourceforge.ganttproject.resource.HumanResource,,,,,,x,x,x,,x,,,,,x,x
net.sourceforge.ganttproject.resource.HumanResourceManager,,,,,,x,x,x,,x,,,,,x,
net.sourceforge.ganttproject.resource.LoadDistribution,,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.resource.ProjectResource,,,,,,x,x,x,,x,,,,,,x
net.sourceforge.ganttproject.resource.ResourceColumn,,,,,,,,x,,,,,,,,
net.sourceforge.ganttproject.resource.ResourceContext,,,,,,,x,x,,,,,,,,
net.sourceforge.ganttproject.resource.ResourceEvent,,,,,,x,x,,,,,,,,,
net.sourceforge.ganttproject.resource.ResourceManager,,,,,,x,x,x,,,,,,,,
net.sourceforge.ganttproject.resource.ResourceNode,,,,,,x,x,x,,,,,,,,x
net.sourceforge.ganttproject.resource.ResourceView,,,,,,x,x,x,,x,,,,,,
net.sourceforge.ganttproject.roles.Role,,,,,,,,x,,x,,,,,,
net.sourceforge.ganttproject.roles.RoleImpl,,,,,,,,x,,x,,,,,,
net.sourceforge.ganttproject.roles.RoleManager,,,,,,,,x,,x,,,,,,
net.sourceforge.ganttproject.roles.RoleManagerImpl,,,,,,,,x,,x,,,,,,
net.sourceforge.ganttproject.roles.RolePersistentID,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.roles.RoleSet,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.roles.RoleSetImpl,,,,,,,,x,,,,,,,,
net.sourceforge.ganttproject.shape.ColorConstants,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.JPaintCombo,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.JPaintList,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.PaintCellRenderer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.Shape,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.ShapeConstants,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.shape.ShapePaint,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm,,x,,x,,,,,x,,x,x,x,,,
